Employee,OrganizationalUnit,OrganizationalUnitDecsription,Position,PositionDescription,DailyDate,Day,StartDate,EndDate,StartTime,EndTime,TimeDifference,AttendanceOrAbsenceTypeText,ChangedOnDate,EmployeeWorkCenter,DailyWorkSchedule,DailyWorkingHours,ChangedBy,DefaultCounterColumn,MaterializedViewLatestUpdateDate
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,03/01/2022 00:00,Monday,03/01/2022 00:00,03/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,04/01/2022 00:00,Tuesday,04/01/2022 00:00,04/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,05/01/2022 00:00,Wednesday,05/01/2022 00:00,05/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,10/01/2022 00:00,Monday,10/01/2022 00:00,10/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,11/01/2022 00:00,Tuesday,11/01/2022 00:00,11/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,19/01/2022 00:00,Wednesday,19/01/2022 00:00,19/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,20/01/2022 00:00,Thursday,20/01/2022 00:00,20/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,21/01/2022 00:00,Friday,21/01/2022 00:00,21/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,24/01/2022 00:00,Monday,24/01/2022 00:00,24/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,25/01/2022 00:00,Tuesday,25/01/2022 00:00,25/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,26/01/2022 00:00,Wednesday,26/01/2022 00:00,26/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,27/01/2022 00:00,Thursday,27/01/2022 00:00,27/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
4292362,50047294,CO NO CET R&M 3,2404001,Distribution Operative,28/01/2022 00:00,Friday,28/01/2022 00:00,28/01/2022 00:00,07:00:00,07:15:00,0.25,Vehicle Checks,19/11/2021 00:00,1302WD1 SERV SOUTH ONE (EDGBASTON),DDAY,9,ENICHO2,1,28/10/2022 05:19
